"age_grp";"race";"month_from_start";"rr";"Model";"Standard Error";"Flag";"APC";"Joinpoints";"Final Selected Model"
"65andup";"aian";1;0.85;0.84;0.00;NA;-0.18;3;3
"65andup";"aian";2;0.79;0.84;0.00;NA;-0.18;3;3
"65andup";"aian";3;0.88;0.84;0.00;NA;-0.18;3;3
"65andup";"aian";4;0.81;0.84;0.00;NA;-0.18;3;3
"65andup";"aian";5;0.83;0.83;0.00;NA;-0.18;3;3
"65andup";"aian";6;0.85;0.83;0.00;NA;-0.18;3;3
"65andup";"aian";7;0.90;0.83;0.00;NA;-0.18;3;3
"65andup";"aian";8;0.78;0.83;0.00;NA;-0.18;3;3
"65andup";"aian";9;0.85;0.83;0.00;NA;-0.18;3;3
"65andup";"aian";10;0.77;0.83;0.00;NA;-0.18;3;3
"65andup";"aian";11;0.82;0.83;0.00;NA;-0.18;3;3
"65andup";"aian";12;0.82;0.82;0.00;NA;-0.18;3;3
"65andup";"aian";13;0.84;0.82;0.00;NA;-0.18;3;3
"65andup";"aian";14;0.85;0.82;0.00;NA;-0.18;3;3
"65andup";"aian";15;0.79;0.82;0.00;NA;-0.18;3;3
"65andup";"aian";16;0.86;0.82;0.00;NA;-0.18;3;3
"65andup";"aian";17;0.81;0.82;0.00;NA;-0.18;3;3
"65andup";"aian";18;0.80;0.82;0.00;NA;-0.18;3;3
"65andup";"aian";19;0.79;0.81;0.00;NA;-0.18;3;3
"65andup";"aian";20;0.78;0.81;0.00;NA;-0.18;3;3
"65andup";"aian";21;0.82;0.81;0.00;NA;-0.18;3;3
"65andup";"aian";22;0.82;0.81;0.00;NA;-0.18;3;3
"65andup";"aian";23;0.80;0.81;0.00;NA;-0.18;3;3
"65andup";"aian";24;0.78;0.81;0.00;NA;-0.18;3;3
"65andup";"aian";25;0.85;0.81;0.00;NA;-0.18;3;3
"65andup";"aian";26;0.79;0.80;0.00;Joinpoint 1;NA;3;3
"65andup";"aian";27;0.81;0.83;0.00;NA;2.72*;3;3
"65andup";"aian";28;0.82;0.85;0.00;NA;2.72*;3;3
"65andup";"aian";29;0.92;0.87;0.00;NA;2.72*;3;3
"65andup";"aian";30;0.97;0.89;0.00;NA;2.72*;3;3
"65andup";"aian";31;0.91;0.92;0.00;NA;2.72*;3;3
"65andup";"aian";32;0.91;0.94;0.00;NA;2.72*;3;3
"65andup";"aian";33;0.92;0.97;0.00;NA;2.72*;3;3
"65andup";"aian";34;0.99;1.00;0.00;NA;2.72*;3;3
"65andup";"aian";35;1.03;1.02;0.00;NA;2.72*;3;3
"65andup";"aian";36;1.05;1.05;0.00;Joinpoint 2;NA;3;3
"65andup";"aian";37;1.00;0.97;0.00;NA;-7.31;3;3
"65andup";"aian";38;0.91;0.90;0.00;NA;-7.31;3;3
"65andup";"aian";39;0.85;0.84;0.00;Joinpoint 3;NA;3;3
"65andup";"aian";40;0.82;0.84;0.00;NA;0.93;3;3
"65andup";"aian";41;0.82;0.85;0.00;NA;0.93;3;3
"65andup";"aian";42;0.87;0.86;0.00;NA;0.93;3;3
"65andup";"aian";43;0.84;0.87;0.00;NA;0.93;3;3
"65andup";"aian";44;0.90;0.88;0.00;NA;0.93;3;3
"65andup";"aian";45;0.91;0.88;0.00;NA;0.93;3;3
"65andup";"aian";46;0.94;0.89;0.00;NA;0.93;3;3
"65andup";"aian";47;0.91;0.90;0.00;NA;0.93;3;3
"65andup";"aian";48;0.85;0.91;0.00;NA;0.93;3;3
"65andup";"asian";1;0.56;0.56;0.00;NA;-0.14;5;5
"65andup";"asian";2;0.55;0.56;0.00;NA;-0.14;5;5
"65andup";"asian";3;0.57;0.56;0.00;NA;-0.14;5;5
"65andup";"asian";4;0.55;0.56;0.00;NA;-0.14;5;5
"65andup";"asian";5;0.56;0.55;0.00;NA;-0.14;5;5
"65andup";"asian";6;0.55;0.55;0.00;NA;-0.14;5;5
"65andup";"asian";7;0.56;0.55;0.00;NA;-0.14;5;5
"65andup";"asian";8;0.54;0.55;0.00;NA;-0.14;5;5
"65andup";"asian";9;0.55;0.55;0.00;NA;-0.14;5;5
"65andup";"asian";10;0.54;0.55;0.00;NA;-0.14;5;5
"65andup";"asian";11;0.56;0.55;0.00;NA;-0.14;5;5
"65andup";"asian";12;0.56;0.55;0.00;NA;-0.14;5;5
"65andup";"asian";13;0.55;0.55;0.00;NA;-0.14;5;5
"65andup";"asian";14;0.57;0.55;0.00;NA;-0.14;5;5
"65andup";"asian";15;0.57;0.55;0.00;NA;-0.14;5;5
"65andup";"asian";16;0.54;0.55;0.00;NA;-0.14;5;5
"65andup";"asian";17;0.53;0.55;0.00;NA;-0.14;5;5
"65andup";"asian";18;0.54;0.55;0.00;NA;-0.14;5;5
"65andup";"asian";19;0.54;0.54;0.00;NA;-0.14;5;5
"65andup";"asian";20;0.53;0.54;0.00;NA;-0.14;5;5
"65andup";"asian";21;0.52;0.54;0.00;NA;-0.14;5;5
"65andup";"asian";22;0.54;0.54;0.00;NA;-0.14;5;5
"65andup";"asian";23;0.55;0.54;0.00;NA;-0.14;5;5
"65andup";"asian";24;0.55;0.54;0.00;NA;-0.14;5;5
"65andup";"asian";25;0.57;0.54;0.00;Joinpoint 1;NA;5;5
"65andup";"asian";26;0.57;0.59;0.00;NA;9.33*;5;5
"65andup";"asian";27;0.60;0.65;0.00;NA;9.33*;5;5
"65andup";"asian";28;0.78;0.71;0.00;Joinpoint 2;NA;5;5
"65andup";"asian";29;0.63;0.67;0.00;NA;-5.59*;5;5
"65andup";"asian";30;0.59;0.63;0.00;NA;-5.59*;5;5
